timestamp,obj_id,class_id,confidence,age_frames,velocity_px,aspect_ratio
1769160614.122265,1,0,0.8869,88,5.13,1.7
1769160614.1740036,1,0,0.9227,89,9.28,1.65
1769160614.22808,1,0,0.9143,90,3.46,1.65
1769160614.280075,1,0,0.9216,91,2.49,1.64
1769160614.3217425,1,0,0.9262,92,0.95,1.66
1769160614.3654685,1,0,0.9195,93,3.62,1.66
1769160614.4179285,1,0,0.9144,94,2.15,1.63
1769160614.4607363,1,0,0.9238,95,5.55,1.63
1769160614.508138,1,0,0.9106,96,30.01,1.61
1769160614.5549655,1,0,0.8987,97,9.38,1.63
1769160614.6090968,1,0,0.8987,98,3.35,1.64
1769160614.6588502,1,0,0.891,99,1.6,1.66
1769160614.7146795,1,0,0.8616,100,1.46,1.54
1769160614.775656,1,0,0.8776,101,16.57,1.49
1769160614.8204029,1,0,0.8837,102,7.67,1.46
1769160614.873515,1,0,0.8759,103,1.06,1.46
1769160614.9175875,1,0,0.8865,104,1.81,1.46
1769160614.9636462,1,0,0.8773,105,0.18,1.45
1769160615.0143063,1,0,0.8572,106,2.63,1.42
1769160615.0623384,1,0,0.8446,107,10.76,1.47
1769160615.1099906,1,0,0.8463,108,9.54,1.4
1769160615.1543221,1,0,0.8619,109,18.4,1.5
1769160615.2073107,1,0,0.8544,110,5.15,1.52
1769160615.2527468,1,0,0.8798,111,2.74,1.51
1769160615.3037686,1,0,0.8644,112,1.07,1.51
1769160615.348799,1,0,0.8622,113,4.37,1.49
1769160615.3963158,1,0,0.8766,114,1.2,1.53
1769160615.4520202,1,0,0.8829,115,8.98,1.53
1769160615.5120904,1,0,0.881,116,6.95,1.52
1769160615.5584104,1,0,0.8797,117,2.1,1.52
1769160615.6042404,1,0,0.8905,118,2.85,1.5
1769160615.6494546,1,0,0.8863,119,1.81,1.52
1769160615.7038887,1,0,0.8972,120,1.59,1.54
1769160615.74652,1,0,0.886,121,18.08,1.44
1769160615.7917683,1,0,0.8854,122,11.7,1.5
1769160615.8376718,1,0,0.8879,123,3.73,1.52
1769160615.891988,1,0,0.8904,124,0.79,1.55
1769160615.937869,1,0,0.8851,125,2.08,1.52
1769160615.989596,1,0,0.8863,126,2.63,1.47
1769160616.0426164,1,0,0.8699,127,3.09,1.47
1769160616.0911982,1,0,0.8781,128,3.11,1.46
1769160616.1460361,1,0,0.8692,129,3.74,1.44
1769160616.2015479,1,0,0.8757,130,1.64,1.45
1769160616.2517064,1,0,0.8706,131,1.46,1.47
1769160616.3010228,1,0,0.8754,132,5.59,1.46
1769160616.346102,1,0,0.8677,133,3.31,1.44
1769160616.401801,1,0,0.8617,134,3.93,1.45
1769160616.451757,1,0,0.8809,135,3.19,1.47
1769160616.5040014,1,0,0.8772,136,1.02,1.46
1769160616.5498857,1,0,0.8696,137,8.17,1.45
1769160616.5960972,1,0,0.8786,138,1.08,1.47
1769160616.6444247,1,0,0.8741,139,2.24,1.43
1769160616.7080243,1,0,0.8677,140,2.34,1.44
1769160616.7709153,1,0,0.8677,141,0.87,1.45
1769160616.8279352,1,0,0.866,142,3.71,1.47
1769160616.8718164,1,0,0.8737,143,4.81,1.46
1769160616.9189923,1,0,0.8771,144,6.19,1.48
1769160616.9717975,1,0,0.8893,145,2.96,1.5
1769160617.0292554,1,0,0.866,146,7.08,1.48
1769160617.0756028,1,0,0.874,147,7.05,1.48
1769160617.1233711,1,0,0.8702,148,2.57,1.45
1769160617.1645174,1,0,0.8775,149,0.19,1.45
1769160617.2436259,1,0,0.8704,150,0.93,1.45
1769160617.338628,1,0,0.8674,151,2.84,1.46
1769160617.422818,1,0,0.8619,152,1.07,1.45
1769160617.5034587,1,0,0.8653,153,4.22,1.45
1769160617.5856788,1,0,0.8899,154,3.49,1.51
1769160617.6623476,1,0,0.8899,155,0.53,1.52
1769160617.7359595,1,0,0.8761,156,4.32,1.56
1769160617.813643,1,0,0.8731,157,18.51,1.49
1769160617.892927,1,0,0.8788,158,5.34,1.49
1769160617.9661994,1,0,0.8849,159,5.47,1.43
1769160618.0448952,1,0,0.8905,160,10.28,1.53
1769160618.120716,1,0,0.8944,161,1.75,1.45
1769160618.1945057,1,0,0.8945,162,0.76,1.41
1769160618.2728195,1,0,0.8972,163,2.57,1.54
1769160618.3491635,1,0,0.8911,164,5.54,1.54
1769160618.4294517,1,0,0.8943,165,2.13,1.55
1769160618.50869,1,0,0.8991,166,0.23,1.55
1769160618.5875099,1,0,0.8931,167,0.2,1.55
1769160618.6621215,1,0,0.8847,168,9.37,1.52
1769160618.736429,1,0,0.8899,169,1.41,1.5
1769160618.813671,1,0,0.8769,170,3.36,1.5
1769160618.891407,1,0,0.8798,171,4.57,1.45
1769160618.9703777,1,0,0.8774,172,12.57,1.49
1769160619.0475037,1,0,0.8694,173,15.87,1.48
1769160619.1277547,1,0,0.8715,174,2.63,1.49
1769160619.2028816,1,0,0.8771,175,5.99,1.42
1769160619.2823102,1,0,0.8715,176,6.54,1.48
1769160619.3614423,1,0,0.8761,177,6.44,1.47
1769160619.43605,1,0,0.8718,178,2.54,1.49
1769160619.512806,1,0,0.892,179,9.87,1.46
1769160619.5878377,1,0,0.8787,180,6.37,1.47
1769160619.666411,1,0,0.8752,181,1.69,1.44
1769160619.7410185,1,0,0.8716,182,6.24,1.44
1769160619.8180468,1,0,0.8569,183,15.27,1.46
1769160619.8954082,1,0,0.8705,184,1.97,1.46
1769160619.9710062,1,0,0.8753,185,5.11,1.48
1769160620.0472097,1,0,0.8772,186,8.9,1.46
1769160620.126427,1,0,0.874,187,7.42,1.48
1769160620.205613,1,0,0.88,188,7.96,1.48
1769160620.2840397,1,0,0.906,189,8.23,1.55
1769160620.3626406,1,0,0.8856,190,3.64,1.54
1769160620.4406598,1,0,0.8991,191,7.8,1.57
1769160620.518732,1,0,0.9042,192,3.07,1.58
1769160620.5988262,1,0,0.9043,193,1.36,1.57
1769160620.6780105,1,0,0.9133,194,5.25,1.62
1769160620.7618449,1,0,0.9165,195,13.08,1.61
1769160620.8416343,1,0,0.9121,196,1.38,1.57
1769160620.9223695,1,0,0.9119,197,2.38,1.55
1769160621.0008025,1,0,0.9122,198,1.04,1.53
1769160621.084249,1,0,0.9008,199,3.54,1.53
1769160621.1650438,1,0,0.9148,200,0.64,1.53
1769160621.2456448,1,0,0.9147,201,3.94,1.52
1769160621.323119,1,0,0.916,202,0.46,1.52
1769160621.401394,1,0,0.9139,203,0.62,1.53
1769160621.478436,1,0,0.9072,204,0.9,1.52
1769160621.5589592,1,0,0.8996,205,5.9,1.51
1769160621.6422675,1,0,0.903,206,40.14,1.76
1769160621.7301884,1,0,0.8982,207,13.48,1.67
1769160621.8084745,1,0,0.8899,208,1.2,1.65
1769160621.8895717,1,0,0.8947,209,17.82,1.74
1769160621.9748292,1,0,0.8937,210,9.06,1.75
1769160621.975285,12,79,0.3581,0,0.0,2.47
1769160622.0611033,1,0,0.8847,211,1.22,1.76
1769160622.0615184,12,79,0.3549,1,5.58,2.95
1769160622.1002038,1,0,0.8847,212,0.13,1.76
1769160622.1006026,12,79,0.3549,2,0.23,2.97
1769160622.1852417,1,0,0.8724,213,18.46,1.62
1769160622.1856325,12,79,0.4588,3,2.23,3.04
1769160622.22519,1,0,0.8724,214,1.88,1.61
1769160622.2256086,12,79,0.4588,4,0.12,3.04
1769160622.3078809,1,0,0.8914,215,3.87,1.61
1769160622.3082504,12,79,0.4104,5,2.31,3.13
1769160622.3457928,1,0,0.8914,216,0.37,1.61
1769160622.346175,12,79,0.4104,6,0.2,3.13
1769160622.4306026,1,0,0.8775,217,22.35,1.75
1769160622.4309785,12,79,0.3991,7,4.27,3.01
1769160622.4702268,1,0,0.8775,218,2.15,1.77
1769160622.4706075,12,79,0.3991,8,0.14,3.0
1769160622.550352,1,0,0.8817,219,3.6,1.74
1769160622.5507302,12,79,0.3385,9,6.42,2.93
1769160622.5885384,1,0,0.8817,220,0.54,1.74
1769160622.5889425,12,79,0.3385,10,0.44,2.93
1769160622.6714094,1,0,0.8765,221,9.3,1.67
1769160622.6717927,12,79,0.1608,11,4.32,2.97
1769160622.7103844,1,0,0.8765,222,0.98,1.66
