17:11:49,DISAPPEARANCE ANOMALY: cell phone (ID 219) is missing!
17:11:49,DISAPPEARANCE ANOMALY: person (ID 221) is missing!
17:11:51,DISAPPEARANCE ANOMALY: cell phone (ID 226) is missing!
17:11:51,REAPPEARANCE: person is back!
17:11:54,REAPPEARANCE: cell phone is back!
17:11:58,DISAPPEARANCE ANOMALY: person (ID 235) is missing!
17:12:12,REAPPEARANCE: cell phone is back!
17:12:15,NEW OBJECT VERIFIED: cell phone (ID 253)
17:12:17,NEW OBJECT VERIFIED: cell phone (ID 255)
17:12:17,REAPPEARANCE: person is back!
17:12:18,DISAPPEARANCE ANOMALY: cell phone (ID 249) is missing!
17:12:19,DISAPPEARANCE ANOMALY: cell phone (ID 242) is missing!
17:12:23,REAPPEARANCE: person is back!
17:12:23,DISAPPEARANCE ANOMALY: person (ID 253) is missing!
17:12:28,DISAPPEARANCE ANOMALY: person (ID 258) is missing!
17:12:37,REAPPEARANCE: cell phone is back!
17:12:42,DISAPPEARANCE ANOMALY: cell phone (ID 263) is missing!
16:22:36,NEW OBJECT VERIFIED: person (ID 46)
16:22:36,NEW OBJECT VERIFIED: chair (ID 53)
16:22:36,NEW OBJECT VERIFIED: person (ID 62)
16:22:36,NEW OBJECT VERIFIED: person (ID 54)
16:22:36,NEW OBJECT VERIFIED: person (ID 58)
16:22:36,NEW OBJECT VERIFIED: person (ID 83)
16:22:36,NEW OBJECT VERIFIED: chair (ID 74)
16:22:37,NEW OBJECT VERIFIED: person (ID 116)
16:22:37,NEW OBJECT VERIFIED: chair (ID 67)
16:22:39,NEW OBJECT VERIFIED: chair (ID 74)
16:22:39,NEW OBJECT VERIFIED: person (ID 164)
16:22:39,NEW OBJECT VERIFIED: chair (ID 74)
16:22:39,NEW OBJECT VERIFIED: chair (ID 67)
16:22:41,NEW OBJECT VERIFIED: chair (ID 74)
16:22:41,NEW OBJECT VERIFIED: person (ID 191)
16:22:41,NEW OBJECT VERIFIED: chair (ID 74)
16:22:42,NEW OBJECT VERIFIED: chair (ID 201)
16:22:42,NEW OBJECT VERIFIED: chair (ID 67)
16:22:42,NEW OBJECT VERIFIED: chair (ID 74)
16:22:42,NEW OBJECT VERIFIED: person (ID 204)
16:22:42,NEW OBJECT VERIFIED: chair (ID 74)
16:22:42,NEW OBJECT VERIFIED: person (ID 164)
