timestamp,obj_id,class_id,confidence,age_frames,velocity_px,aspect_ratio,is_real
1770809557.2611094,1,0,0.9136,96,8.09,1.5,1
1770809557.261157,3,56,0.5036,96,0.61,0.59,1
1770809557.394869,1,0,0.9106,98,5.42,1.53,1
1770809557.394934,3,56,0.5833,98,1.19,0.59,1
1770809557.521672,1,0,0.8972,100,3.74,1.54,1
1770809557.521731,3,56,0.6249,100,1.96,0.6,1
1770809557.6384408,1,0,0.9205,102,7.15,1.51,1
1770809557.638498,3,56,0.664,102,0.48,0.58,1
1770809557.7587905,1,0,0.8984,104,1.67,1.52,1
1770809557.7588394,3,56,0.6957,104,0.18,0.59,1
1770809557.882094,1,0,0.8964,106,5.87,1.54,1
1770809557.8822117,3,56,0.5932,106,1.61,0.59,1
1770809558.0161045,1,0,0.9111,108,1.8,1.56,1
1770809558.0161746,3,56,0.2048,108,4.13,0.59,1
1770809558.127592,1,0,0.9033,110,3.33,1.56,1
1770809558.1276448,3,56,0.6546,110,3.18,0.61,1
1770809558.2470584,1,0,0.9168,112,6.43,1.53,1
1770809558.247163,3,56,0.4592,112,2.52,0.58,1
1770809558.4114883,1,0,0.9074,114,2.02,1.54,1
1770809558.4115653,3,56,0.5572,114,2.06,0.58,1
1770809558.5463445,1,0,0.9074,116,7.05,1.48,1
1770809558.5463967,3,56,0.4472,116,0.79,0.58,1
1770809558.6677678,1,0,0.9165,118,7.27,1.52,1
1770809558.667834,3,56,0.566,118,0.14,0.58,1
1770809558.7842617,1,0,0.9115,120,1.63,1.52,1
1770809558.7843106,3,56,0.5463,120,2.78,0.61,1
1770809558.900279,1,0,0.9178,122,8.63,1.48,1
1770809558.9003356,3,56,0.6201,122,2.58,0.58,1
1770809559.020804,1,0,0.9217,124,3.09,1.51,1
1770809559.0208604,3,56,0.4104,124,1.12,0.57,1
1770809559.150642,1,0,0.9039,126,0.45,1.5,1
1770809559.1506913,3,56,0.3465,126,2.02,0.59,1
1770809559.2754383,1,0,0.9027,128,2.8,1.51,1
1770809559.2755034,3,56,0.6213,128,0.78,0.58,1
1770809559.3898025,1,0,0.9023,130,1.22,1.52,1
1770809559.3898551,3,56,0.5953,130,0.22,0.57,1
1770809559.5188494,1,0,0.903,132,0.1,1.52,1
1770809559.5189068,3,56,0.5732,132,2.62,0.58,1
1770809559.653582,1,0,0.9026,134,0.62,1.49,1
1770809559.6536372,3,56,0.5047,134,4.7,0.56,1
1770809559.7923014,1,0,0.9062,136,9.76,1.46,1
1770809559.7923598,3,56,0.7475,136,2.97,0.58,1
1770809559.9352093,1,0,0.9173,138,8.1,1.48,1
1770809559.935267,3,56,0.7576,138,2.34,0.63,1
1770809560.0467217,1,0,0.9139,140,9.49,1.48,1
1770809560.0467758,3,56,0.8193,140,1.89,0.67,1
1770809560.1763487,1,0,0.8785,142,7.45,1.51,1
1770809560.1764033,3,56,0.7335,142,6.03,0.65,1
1770809560.301195,1,0,0.8826,144,8.02,1.5,1
1770809560.3012486,3,56,0.6961,144,4.15,0.68,1
1770809560.427978,1,0,0.8668,146,10.79,1.52,1
1770809560.4280727,3,56,0.7292,146,5.59,0.65,1
1770809560.549525,1,0,0.8569,148,3.72,1.51,1
1770809561,3,56,0.7569,148,1.7,0.65,1
1770809560.613629,1,0,0.8655,150,1.7,1.5,1
1770809560.6136873,3,56,0.703,150,1.33,0.64,1
1770809560.685118,1,0,0.87,152,1.91,1.49,1
1770809560.6851666,3,56,0.812,152,7.33,0.69,1
1770809560.742824,1,0,0.8679,154,3.17,1.48,1
1770809560.7428718,3,56,0.8491,154,4.1,0.71,1
1770809560.8004427,1,0,0.8902,156,4.1,1.46,1
1770809560.8005035,3,56,0.7926,156,4.97,0.7,1
1770809560.8557763,1,0,0.8906,158,3.77,1.47,1
1770809560.8558211,3,56,0.7846,158,1.24,0.68,1
1770809560.912155,1,0,0.8955,160,2.15,1.47,1
1770809560.9122243,3,56,0.746,160,2.06,0.69,1
1770809560.969037,1,0,0.9069,162,5.7,1.47,1
1770809560.9690814,3,56,0.8171,162,3.73,0.69,1
1770809561.024574,1,0,0.9108,164,2.18,1.48,1
1770809561.0246246,3,56,0.8405,164,2.26,0.69,1
1770809561.076594,1,0,0.8947,166,2.18,1.46,1
1770809561.0766375,3,56,0.8386,166,2.21,0.7,1
1770809561,1,0,0.9049,168,0.91,1.46,1
1770809561.1323214,3,56,0.8083,168,2.38,0.7,1
1770809561.184034,1,0,0.9104,170,2.4,1.46,1
1770809561.184085,3,56,0.8491,170,1.55,0.7,1
1770809561.2353308,1,0,0.8962,172,3.87,1.45,1
1770809561.235374,3,56,0.8087,172,2.85,0.7,1
1770809561.286942,1,0,0.9006,174,1.22,1.47,1
1770809561.2869918,3,56,0.8071,174,4.91,0.67,1
1770809561.3370638,1,0,0.899,176,3.38,1.48,1
1770809561.337109,3,56,0.8364,176,0.99,0.68,1
1770809561.390021,1,0,0.9058,178,1.53,1.5,1
1770809561.390073,3,56,0.7656,178,2.94,0.7,1
1770809561.4445436,1,0,0.9141,180,3.15,1.48,1
1770809561.4446018,3,56,0.7484,180,1.05,0.68,1
1770809561.495462,1,0,0.9042,182,1.3,1.49,1
1770809561.495505,3,56,0.7237,182,2.54,0.7,1
1770809561.5485165,1,0,0.9034,184,3.17,1.49,1
